method,template,n,parser_success,fscore,exact_fscore,query_relevance_or,query_relevance_and
LLM-Parsed,focus_unseen,180,0.9666666666666667,0.4247164714935993,0.04761658336827174,0.534000907631067,0.09944364653947413
LLM-Parsed,implicit_unseen,180,0.9444444444444444,0.42395414974288215,0.046398053630030134,0.5268182527481039,0.0959895900255035
LLM-Parsed,question_unseen,180,0.9555555555555556,0.4217362012308401,0.04774052022728492,0.5504739927169247,0.10132884512354066
No-Intent-Visual,focus_unseen,180,0.0,0.3105944623944626,0.021710433639766293,0.16121756582013505,0.011240814065208663
No-Intent-Visual,implicit_unseen,180,0.0,0.3105944623944626,0.021710433639766293,0.16121756582013505,0.011240814065208663
No-Intent-Visual,question_unseen,180,0.0,0.3105944623944626,0.021710433639766293,0.16121756582013505,0.011240814065208663
Oracle-Intent,focus_unseen,180,1.0,0.4276100922042414,0.04799255653018682,0.5579261781312762,0.10564553140810942
Oracle-Intent,implicit_unseen,180,1.0,0.4276100922042414,0.04799255653018682,0.5579261781312762,0.10564553140810942
Oracle-Intent,question_unseen,180,1.0,0.4276100922042414,0.04799255653018682,0.5579261781312762,0.10564553140810942
Rule-Parsed,focus_unseen,180,1.0,0.4276100922042414,0.04799255653018682,0.5579261781312762,0.10564553140810942
Rule-Parsed,implicit_unseen,180,1.0,0.4276100922042414,0.04799255653018682,0.5579261781312762,0.10564553140810942
Rule-Parsed,question_unseen,180,1.0,0.4276100922042414,0.04799255653018682,0.5579261781312762,0.10564553140810942
LLM-Parsed,all,540,0.9555555555555556,0.4234689408224405,0.0472517190751956,0.5370977176986986,0.09892069389617276
No-Intent-Visual,all,540,0.0,0.31059446239446264,0.021710433639766293,0.16121756582013505,0.011240814065208665
Oracle-Intent,all,540,1.0,0.42761009220424134,0.04799255653018682,0.5579261781312762,0.10564553140810942
Rule-Parsed,all,540,1.0,0.42761009220424134,0.04799255653018682,0.5579261781312762,0.10564553140810942
