dataset,video_key,setting,fscore
TVSum,video_1,fixed_alpha_0.0,0.6780899001486976
TVSum,video_1,fixed_alpha_0.1,0.6538201978097768
TVSum,video_1,fixed_alpha_0.2,0.6831888599706936
TVSum,video_1,fixed_alpha_0.3,0.6831888599706936
TVSum,video_1,fixed_alpha_0.4,0.6831888599706936
TVSum,video_1,fixed_alpha_0.5,0.6831888599706936
TVSum,video_1,fixed_alpha_0.6,0.6831888599706936
TVSum,video_1,fixed_alpha_0.7,0.6831888599706936
TVSum,video_1,fixed_alpha_0.8,0.6671252221739493
TVSum,video_1,fixed_alpha_0.9,0.6671252221739493
TVSum,video_1,fixed_alpha_1.0,0.6671252221739493
TVSum,video_1,adaptive_strength_0.0,0.6671252221739493
TVSum,video_1,adaptive_strength_0.1,0.6671252221739493
TVSum,video_1,adaptive_strength_0.2,0.6671252221739493
TVSum,video_1,adaptive_strength_0.3,0.6671252221739493
TVSum,video_1,adaptive_strength_0.4,0.6671252221739493
TVSum,video_1,adaptive_strength_0.5,0.6671252221739493
TVSum,video_1,adaptive_strength_0.6,0.6671252221739493
TVSum,video_1,adaptive_strength_0.7,0.6671252221739493
TVSum,video_1,adaptive_strength_0.8,0.6831888599706936
TVSum,video_1,adaptive_strength_0.9,0.6831888599706936
TVSum,video_1,adaptive_strength_1.0,0.6831888599706936
TVSum,video_2,fixed_alpha_0.0,0.4445504429305046
TVSum,video_2,fixed_alpha_0.1,0.4923143063574287
TVSum,video_2,fixed_alpha_0.2,0.4923143063574287
TVSum,video_2,fixed_alpha_0.3,0.6476098081261394
TVSum,video_2,fixed_alpha_0.4,0.5962547351161777
TVSum,video_2,fixed_alpha_0.5,0.5962547351161777
TVSum,video_2,fixed_alpha_0.6,0.5962547351161777
TVSum,video_2,fixed_alpha_0.7,0.5962547351161777
TVSum,video_2,fixed_alpha_0.8,0.5962547351161777
TVSum,video_2,fixed_alpha_0.9,0.5962547351161777
TVSum,video_2,fixed_alpha_1.0,0.5962547351161777
