style,metric,n,successes,rate,ci_low,ci_high
code_switch,goal_correct,180,180,1.0,0.9791045020783868,1.0
code_switch,routeable,180,161,0.8944444444444445,0.8410276570803017,0.9313770056704258
code_switch,intent_correct,180,159,0.8833333333333333,0.8282324559717179,0.9224143289550454
code_switch,format_correct,180,180,1.0,0.9791045020783868,1.0
explicit_constraint,goal_correct,180,180,1.0,0.9791045020783868,1.0
explicit_constraint,routeable,180,142,0.7888888888888889,0.7235528134620787,0.8421520099609893
explicit_constraint,intent_correct,180,129,0.7166666666666667,0.6468442560730201,0.7774343614942809
explicit_constraint,constraint_correct,180,180,1.0,0.9791045020783868,1.0
explicit_constraint,format_correct,180,180,1.0,0.9791045020783868,1.0
indirect_exclusion,goal_correct,180,180,1.0,0.9791045020783868,1.0
indirect_exclusion,routeable,180,149,0.8277777777777777,0.7659213511713736,0.8759360446355688
indirect_exclusion,intent_correct,180,119,0.6611111111111111,0.5892403973636117,0.7262488310838685
spoken_filler,goal_correct,180,170,0.9444444444444444,0.9007683865825439,0.9695467263760221
spoken_filler,routeable,180,109,0.6055555555555555,0.5326680819105162,0.6740317574171432
spoken_filler,intent_correct,180,101,0.5611111111111111,0.48808829710728535,0.6315800309245176
spoken_filler,constraint_correct,180,176,0.9777777777777777,0.944263669857449,0.9913250765730094
terse_fragment,goal_correct,180,178,0.9888888888888889,0.9603989991004155,0.9969476251540074
terse_fragment,routeable,180,161,0.8944444444444445,0.8410276570803017,0.9313770056704258
terse_fragment,intent_correct,180,145,0.8055555555555556,0.7416056575934763,0.856735982565538
unpunctuated_chat,goal_correct,180,180,1.0,0.9791045020783868,1.0
unpunctuated_chat,routeable,180,156,0.8666666666666667,0.8092727787274112,0.908737189463406
unpunctuated_chat,intent_correct,180,138,0.7666666666666667,0.6997021803760345,0.8224868873991052
all,goal_correct,1080,1068,0.9888888888888889,0.9806795450463355,0.993632695370277
all,routeable,1080,878,0.812962962962963,0.7886124724750105,0.8350949844583513
all,intent_correct,1080,791,0.7324074074074074,0.7052148702952051,0.7579525015695102
all,constraint_correct,360,356,0.9888888888888889,0.9717834877186631,0.9956708566568366
all,format_correct,360,360,1.0,0.9894419431113063,0.9999999999999999
