comparison,metric,n_query_pairs,n_video_clusters,mean_difference,video_cluster_ci_low,video_cluster_ci_high,wilcoxon_p_exploratory
LLM-Ontology - Rule-Canonical-Lexicon,intent_correct,180,4,0.7324074074074073,0.7018518518518518,0.7657407407407407,1.054833535824568e-31
LLM-Ontology - Rule-Canonical-Lexicon,fscore,180,4,0.09125255039106572,0.023455808695068973,0.15904929208706248,8.461450076403072e-19
LLM-Ontology - Rule-Canonical-Lexicon,exact_fscore,180,4,0.021030470584524567,0.007102435043864508,0.02953771419576217,2.8945993658552384e-13
LLM-Ontology - Rule-Canonical-Lexicon,query_relevance_or,180,4,0.31305849189570123,0.27037037037037037,0.35574661342103203,8.430195822482207e-26
LLM-Ontology - Rule-Canonical-Lexicon,query_relevance_and,180,4,0.07339514366164551,0.04900940396309872,0.0976892209768922,1.5428001415218256e-12
LLM-Ontology - No-Intent-Visual,intent_correct,180,4,0.7324074074074073,0.7018518518518518,0.7657407407407407,1.054833535824568e-31
LLM-Ontology - No-Intent-Visual,fscore,180,4,0.09178921991927555,0.023455980341631537,0.16012245949691956,8.461450076403072e-19
LLM-Ontology - No-Intent-Visual,exact_fscore,180,4,0.021045575539093465,0.006999828004200733,0.02965936869697872,2.6305929555667256e-13
LLM-Ontology - No-Intent-Visual,query_relevance_or,180,4,0.3148166329322749,0.2718163368848301,0.3578169289797197,7.934808737641666e-26
LLM-Ontology - No-Intent-Visual,query_relevance_and,180,4,0.07363247502991029,0.04904745571347924,0.09803468474701352,1.542789460012111e-12
LLM-Ontology - Oracle-Intent,intent_correct,180,4,-0.2675925925925926,-0.29814814814814816,-0.23425925925925928,1.5769489705062543e-25
LLM-Ontology - Oracle-Intent,fscore,180,4,-0.025226409890503218,-0.046863155326197205,-0.006359159865541491,1.17893440940082e-12
LLM-Ontology - Oracle-Intent,exact_fscore,180,4,-0.0052365473513270476,-0.00786959014965906,-0.002603504552995034,7.85916940189856e-06
LLM-Ontology - Oracle-Intent,query_relevance_or,180,4,-0.08189197937886629,-0.08884110296980638,-0.0749428557879262,1.4831071937121421e-16
LLM-Ontology - Oracle-Intent,query_relevance_and,180,4,-0.020772242312990463,-0.02869009732023431,-0.012854387305746619,8.143118495978387e-07
