method,style,n,goal_accuracy,routeable,intent_accuracy,fscore,exact_fscore,query_relevance_or,query_relevance_and
LLM-Ontology,code_switch,180,1.0,0.8944444444444445,0.8833333333333333,0.4177624578517259,0.04297177185292234,0.5200434666720691,0.09436538636117761
LLM-Ontology,explicit_constraint,180,1.0,0.7888888888888889,0.7166666666666667,0.39453358251658005,0.04077381272709652,0.4546363726555678,0.07606041026682749
LLM-Ontology,indirect_exclusion,180,1.0,0.8277777777777777,0.6611111111111111,0.4030012478289405,0.04615514771953842,0.47234202988565416,0.0884634489500128
LLM-Ontology,spoken_filler,180,0.9444444444444444,0.6055555555555555,0.5611111111111111,0.3757112123237771,0.037150499523439504,0.4094008696778934,0.06893381721590221
LLM-Ontology,terse_fragment,180,0.9888888888888889,0.8944444444444445,0.8055555555555556,0.41876957677638477,0.0452095933028828,0.5077310229486172,0.09190837159356782
LLM-Ontology,unpunctuated_chat,180,1.0,0.8666666666666667,0.7666666666666667,0.4045240165850206,0.04427522994727902,0.4920514306746578,0.08950830018322581
No-Intent-Visual,code_switch,180,1.0,0.0,0.0,0.3105944623944626,0.021710433639766293,0.16121756582013505,0.011240814065208663
No-Intent-Visual,explicit_constraint,180,1.0,0.0,0.0,0.3105944623944626,0.021710433639766293,0.16121756582013505,0.011240814065208663
No-Intent-Visual,indirect_exclusion,180,1.0,0.0,0.0,0.3105944623944626,0.021710433639766293,0.16121756582013505,0.011240814065208663
No-Intent-Visual,spoken_filler,180,0.9444444444444444,0.0,0.0,0.3105944623944626,0.021710433639766293,0.16121756582013505,0.011240814065208663
No-Intent-Visual,terse_fragment,180,0.9888888888888889,0.0,0.0,0.3105944623944626,0.021710433639766293,0.16121756582013505,0.011240814065208663
No-Intent-Visual,unpunctuated_chat,180,1.0,0.0,0.0,0.3105944623944626,0.021710433639766293,0.16121756582013505,0.011240814065208663
Oracle-Intent,code_switch,180,1.0,1.0,1.0,0.4276100922042414,0.04799255653018682,0.5579261781312762,0.10564553140810942
Oracle-Intent,explicit_constraint,180,1.0,1.0,1.0,0.4276100922042414,0.04799255653018682,0.5579261781312762,0.10564553140810942
Oracle-Intent,indirect_exclusion,180,1.0,1.0,1.0,0.4276100922042414,0.04799255653018682,0.5579261781312762,0.10564553140810942
Oracle-Intent,spoken_filler,180,0.9444444444444444,1.0,1.0,0.4276100922042414,0.04799255653018682,0.5579261781312762,0.10564553140810942
Oracle-Intent,terse_fragment,180,0.9888888888888889,1.0,1.0,0.4276100922042414,0.04799255653018682,0.5579261781312762,0.10564553140810942
Oracle-Intent,unpunctuated_chat,180,1.0,1.0,1.0,0.4276100922042414,0.04799255653018682,0.5579261781312762,0.10564553140810942
Rule-Canonical-Lexicon,code_switch,180,1.0,0.0,0.0,0.3105944623944626,0.021710433639766293,0.16121756582013505,0.011240814065208663
Rule-Canonical-Lexicon,explicit_constraint,180,1.0,0.0,0.0,0.3105944623944626,0.021710433639766293,0.16121756582013505,0.011240814065208663
Rule-Canonical-Lexicon,indirect_exclusion,180,1.0,0.022222222222222223,0.0,0.31381447956372155,0.021801063367179685,0.171766412039577,0.012664802274797384
Rule-Canonical-Lexicon,spoken_filler,180,0.9444444444444444,0.0,0.0,0.3105944623944626,0.021710433639766293,0.16121756582013505,0.011240814065208663
Rule-Canonical-Lexicon,terse_fragment,180,0.9888888888888889,0.0,0.0,0.3105944623944626,0.021710433639766293,0.16121756582013505,0.011240814065208663
Rule-Canonical-Lexicon,unpunctuated_chat,180,1.0,0.0,0.0,0.3105944623944626,0.021710433639766293,0.16121756582013505,0.011240814065208663
LLM-Ontology,all,1080,0.9888888888888889,0.812962962962963,0.7324074074074074,0.40238368231373817,0.04275600917885977,0.47603419875240993,0.08487328909511896
No-Intent-Visual,all,1080,0.9888888888888889,0.0,0.0,0.3105944623944626,0.021710433639766293,0.16121756582013505,0.011240814065208665
Oracle-Intent,all,1080,0.9888888888888889,1.0,1.0,0.42761009220424134,0.04799255653018682,0.5579261781312762,0.10564553140810942
Rule-Canonical-Lexicon,all,1080,0.9888888888888889,0.003703703703703704,0.0,0.31113113192267244,0.02172553859433519,0.1629757068567087,0.01147814543347345
