comparison,metric,n_query_pairs,n_video_clusters,mean_difference,video_cluster_ci_low,video_cluster_ci_high,wilcoxon_p_exploratory
Ours - Uniform,fscore,180,4,-0.05132714692644592,-0.07551788974467363,-0.020279684902970087,7.761985856938947e-13
Ours - Uniform,exact_fscore,180,4,0.020943335786056148,-0.0005488449610928049,0.034139691805821104,5.610101031075166e-08
Ours - Uniform,query_relevance_or,180,4,0.35735482197246726,0.3318702915165411,0.40406859290580227,9.776019351701155e-31
Ours - Uniform,query_relevance_and,180,4,0.07898177218840927,0.049608763693270726,0.10835478068354781,3.244886642733454e-11
Ours - Visual-BiLSTM,fscore,180,4,0.11701562980977881,0.03135222474798411,0.20501766046494974,6.2818817090197866e-21
Ours - Visual-BiLSTM,exact_fscore,180,4,0.026282122890420513,0.010372713594402392,0.03436462253392264,7.682962512226662e-14
Ours - Visual-BiLSTM,query_relevance_or,180,4,0.39670861231114113,0.35149098548674085,0.4419262391355415,7.824684858884819e-28
Ours - Visual-BiLSTM,query_relevance_and,180,4,0.09440471734290075,0.062084652618553685,0.12672478206724783,1.5255720109956358e-12
Ours - CLIP-zero-shot,fscore,180,4,0.02316035052440404,-0.032744682211780445,0.0878127739983163,0.008796940816601356
Ours - CLIP-zero-shot,exact_fscore,180,4,0.015322168898160259,-0.0032551523129417297,0.030385341271092367,3.458204845101563e-05
Ours - CLIP-zero-shot,query_relevance_or,180,4,0.25180779205758,0.20813248766737139,0.2954830964477887,3.7017206437464137e-25
Ours - CLIP-zero-shot,query_relevance_and,180,4,0.06117794839936546,0.03673253994249735,0.08562335685623357,7.439793964179168e-09
Ours - CHAN,fscore,180,4,-0.022407210499085423,-0.05918241462257958,0.035968298114023856,0.002204157365145926
Ours - CHAN,exact_fscore,180,4,0.027664593048972848,0.01921530058072272,0.03885334266349259,3.225795755149041e-14
Ours - CHAN,query_relevance_or,180,4,0.3533783885637216,0.32600969877172487,0.39764404609475035,2.161547104223306e-30
Ours - CHAN,query_relevance_and,180,4,0.08282358830986052,0.05290606689230993,0.11274110972741111,7.972991666893113e-12
Ours - CHAN-MMR,fscore,180,4,-0.024956225035840864,-0.06265497306239935,0.03102537898947098,0.000582148116129561
Ours - CHAN-MMR,exact_fscore,180,4,0.028364824020544126,0.020834937916333042,0.03907310186494811,7.518071067533025e-15
Ours - CHAN-MMR,query_relevance_or,180,4,0.3536188550496507,0.32676365438391564,0.39869967278417984,1.9743765851037795e-30
Ours - CHAN-MMR,query_relevance_and,180,4,0.08234130064447426,0.05274957236961822,0.1119330289193303,8.223473921310338e-12
Ours - FCSNA-QFVS-Controlled-Reproduction,fscore,180,4,-0.008210405028341082,-0.0661511689909712,0.057982333546302424,0.5037939318904
Ours - FCSNA-QFVS-Controlled-Reproduction,exact_fscore,180,4,0.002701388694722469,-0.020734474989686648,0.026137252379131583,0.7402982108752927
Ours - FCSNA-QFVS-Controlled-Reproduction,query_relevance_or,180,4,0.3500609616619919,0.30632892965025293,0.4234689359346894,1.0863830574770557e-29
Ours - FCSNA-QFVS-Controlled-Reproduction,query_relevance_and,180,4,0.08732291483818165,0.05357207846562578,0.12455954897815363,2.612211241896385e-12
Ours - Concept-Adapter-MMR,fscore,180,4,0.016773734685274568,0.003899492739978862,0.030097448076511234,5.432569938041371e-05
Ours - Concept-Adapter-MMR,exact_fscore,180,4,-0.002284729152915009,-0.0034268554436445754,-0.001070198270364456,0.36305169404099435
Ours - Concept-Adapter-MMR,query_relevance_or,180,4,-0.06327462103366335,-0.10272910693426783,-0.03642054346279699,3.352249655423206e-14
Ours - Concept-Adapter-MMR,query_relevance_and,180,4,0.008559266890080058,0.004446793516560958,0.013136964863764014,0.008028116377097471
