metric,method,n_queries,mean,std,bootstrap_ci95_low,bootstrap_ci95_high
fscore,Adapter-Adaptive-no-Diversity,180,0.4090162762355332,0.09179590944528496,0.39592229782403415,0.42241046594210185
fscore,Adaptive-no-Diversity,180,0.40248076379838826,0.11145074535442114,0.3863318320796891,0.41871825826802245
fscore,CLIP-zero-shot,180,0.4044497416798373,0.11068821925500823,0.38843918186974835,0.4205185571000568
fscore,Concept-Adapter,180,0.4090647000766526,0.09194148240189577,0.3959309279535436,0.422486752000255
fscore,Concept-Adapter-MMR,180,0.41083635751896674,0.09188048065307163,0.3977194920289938,0.4242678205171541
fscore,Fixed-Fusion,180,0.4018424290042797,0.11175624606040577,0.38566683185903533,0.4181337648131637
fscore,Ours-Adapter-Fusion,180,0.41082494705663325,0.09158536253339745,0.3977062407859339,0.4242041849662984
fscore,Ours-Nested-Intent-Selector,180,0.4276100922042414,0.09114032112655347,0.4146377349828259,0.44096076362795167
fscore,Uniform,180,0.4789372391306873,0.09581088908828338,0.4649363874310432,0.4930179370164353
fscore,Visual-BiLSTM,180,0.3105944623944626,0.10123989141055668,0.29583869863725565,0.325355471550013
fscore,ZeroShot-Fusion-MMR,180,0.40906001618212257,0.10985073309687352,0.3932402059413337,0.42517161868509074
exact_fscore,Adapter-Adaptive-no-Diversity,180,0.04925453883991115,0.03719464815413862,0.043942456075798914,0.05476588852312537
exact_fscore,Adaptive-no-Diversity,180,0.03232085581464573,0.028545275245045167,0.028291750577629417,0.03654872560662313
exact_fscore,CLIP-zero-shot,180,0.03267038763202652,0.02834128736029875,0.02866982609384998,0.036886513774414126
exact_fscore,Concept-Adapter,180,0.0494689208263104,0.0369904373038564,0.0442031615596798,0.0549339855488484
exact_fscore,Concept-Adapter-MMR,180,0.05027728568310179,0.03815918337675489,0.044804012802752965,0.055982227393934755
exact_fscore,Fixed-Fusion,180,0.03251206247256541,0.028368424037000198,0.028489010943998777,0.036695455913470745
exact_fscore,Ours-Adapter-Fusion,180,0.0499685134302743,0.037683170766723076,0.04460642157428566,0.05558508190249159
exact_fscore,Ours-Nested-Intent-Selector,180,0.04799255653018678,0.038354530805688986,0.04249210720936946,0.05366308659112528
exact_fscore,Uniform,180,0.027049220744130634,0.01893243983579752,0.024307153881824854,0.02982020689785319
exact_fscore,Visual-BiLSTM,180,0.02171043363976627,0.02281966494345712,0.0184563864565482,0.025137613077983685
exact_fscore,ZeroShot-Fusion-MMR,180,0.03401761272996452,0.029109583007211216,0.029887630238897823,0.03834909535315747
query_relevance_or,Adapter-Adaptive-no-Diversity,180,0.6202285207993045,0.34608871674221964,0.5695806915903082,0.6704996199810451
query_relevance_or,Adaptive-no-Diversity,180,0.3049307055451472,0.285639166532246,0.2639400014779711,0.3470247015379918
query_relevance_or,CLIP-zero-shot,180,0.3061183860736961,0.28544202129721036,0.264983022152661,0.34820798739133385
query_relevance_or,Concept-Adapter,180,0.6208641539707772,0.345815910589393,0.5701988518213196,0.6711530383999189
query_relevance_or,Concept-Adapter-MMR,180,0.6212007991649396,0.3451729786941445,0.5706947446275796,0.6714882087729119
query_relevance_or,Fixed-Fusion,180,0.30315634074299475,0.28570694795136375,0.26220778632879915,0.3453535774469316
query_relevance_or,Ours-Adapter-Fusion,180,0.6216146863644272,0.3450311671084271,0.5711733762520548,0.6717011667541619
query_relevance_or,Ours-Nested-Intent-Selector,180,0.5579261781312762,0.34346506667962784,0.5075135273785647,0.6076892984332736
query_relevance_or,Uniform,180,0.2005713561588089,0.2186261428767668,0.16971937427254338,0.23360535931761509
query_relevance_or,Visual-BiLSTM,180,0.16121756582013502,0.201551408216619,0.13324594807721216,0.19189496020695393
query_relevance_or,ZeroShot-Fusion-MMR,180,0.30393763950023456,0.28009039664205204,0.26371327276960405,0.34527794763567904
query_relevance_and,Adapter-Adaptive-no-Diversity,180,0.0978834397939343,0.21079003482101016,0.06895671419923222,0.1295227270121221
query_relevance_and,Adaptive-no-Diversity,180,0.043880757781748936,0.10665349330570648,0.02940835174225416,0.060216532736017264
query_relevance_and,CLIP-zero-shot,180,0.044467583008743955,0.10861374928820058,0.029690364398962263,0.061068650601515166
query_relevance_and,Concept-Adapter,180,0.09767927583132927,0.21016818160789463,0.06883720530260312,0.1291780710877355
query_relevance_and,Concept-Adapter-MMR,180,0.09708626451802935,0.2093223413179617,0.06845836697972368,0.12849401684578834
query_relevance_and,Fixed-Fusion,180,0.04355710839963921,0.106009588107247,0.029161504803904587,0.05975539113863642
query_relevance_and,Ours-Adapter-Fusion,180,0.09743959841245689,0.2099737817234129,0.06867269650319108,0.12892237731854164
query_relevance_and,Ours-Nested-Intent-Selector,180,0.10564553140810942,0.2148630498209419,0.07598864979613199,0.13813432050335675
query_relevance_and,Uniform,180,0.02666375921970014,0.0675065538407569,0.0177235452125679,0.03718767532777668
query_relevance_and,Visual-BiLSTM,180,0.011240814065208656,0.04055754037932962,0.0062895912129565,0.017972030280867524
query_relevance_and,ZeroShot-Fusion-MMR,180,0.044600712353966496,0.1075707669833278,0.02988546955676412,0.06096277879821684
