rater_id,volume,sample_id,relevance_1_5,both_concepts_coverage_1_5,non_redundancy_1_5,overall_usefulness_1_5,query_number,video,query_id,method,selected_indices
R004,A,Q01-S1,3,1,1,2,1,P01,Book_Street,Ours-Nested-Intent-Selector,"[471, 475, 481, 552, 556, 557, 558, 559, 563, 564, 571, 573, 575, 879, 1059, 1061, 1062, 1066, 1371, 1376, 1377, 1378, 1383, 1385, 1387, 1388, 1389, 1390, 1391, 1392, 1396, 1399, 1402, 1404, 1405, 1406, 1407, 1409, 1410, 1411, 1413, 1417, 1421, 1424, 1437, 1459, 1462, 1463, 1464, 1467, 1468, 1469, 1470, 1479, 1488]"
R004,A,Q01-S2,1,2,3,2,1,P01,Book_Street,Uniform,"[0, 51, 103, 154, 206, 257, 309, 360, 412, 463, 515, 566, 618, 669, 721, 772, 824, 875, 927, 978, 1030, 1081, 1133, 1184, 1236, 1287, 1339, 1391, 1442, 1494, 1545, 1597, 1648, 1700, 1751, 1803, 1854, 1906, 1957, 2009, 2060, 2112, 2163, 2215, 2266, 2318, 2369, 2421, 2472, 2524, 2575, 2627, 2678, 2730, 2782]"
R004,A,Q01-S3,4,4,4,3,1,P01,Book_Street,CLIP-zero-shot,"[1876, 494, 2491, 2499, 116, 548, 1399, 2497, 819, 2480, 829, 1536, 2039, 675, 1468, 1365, 551, 1647, 107, 1704, 1922, 568, 2394, 1524, 1382, 812, 638, 2506, 1961, 1853, 1640, 822, 1467, 1850, 1622, 830, 1449, 1560, 1846, 825, 1841, 1791, 1389, 2399, 1570, 1790, 1700, 1855, 2479, 2058, 2471, 773, 1867, 1705, 552]"
R004,A,Q01-S4,2,2,1,2,1,P01,Book_Street,Visual-BiLSTM,"[2782, 2781, 2780, 2779, 2778, 915, 917, 914, 918, 916, 2777, 919, 1962, 1391, 1963, 1801, 1390, 979, 920, 923, 828, 1466, 977, 1699, 1607, 827, 1647, 978, 1389, 1802, 1551, 1606, 2529, 1536, 1058, 1345, 1795, 1964, 1337, 2775, 1336, 1349, 1544, 1700, 924, 1346, 2499, 775, 569, 882, 1392, 1550, 1597, 1347, 714]"
R004,A,Q02-S1,4,3,2,3,2,P01,Desk_Office,CLIP-zero-shot,"[675, 638, 1922, 650, 463, 653, 812, 657, 629, 628, 738, 651, 1973, 656, 1925, 2491, 649, 1961, 742, 320, 654, 2334, 2389, 744, 774, 802, 648, 646, 1924, 2614, 462, 1622, 618, 678, 1318, 797, 28, 494, 2752, 1624, 634, 2020, 743, 1882, 671, 647, 939, 2499, 1981, 1536, 116, 631, 645, 682, 809]"
R004,A,Q02-S2,2,2,2,2,2,P01,Desk_Office,Uniform,"[0, 51, 103, 154, 206, 257, 309, 360, 412, 463, 515, 566, 618, 669, 721, 772, 824, 875, 927, 978, 1030, 1081, 1133, 1184, 1236, 1287, 1339, 1391, 1442, 1494, 1545, 1597, 1648, 1700, 1751, 1803, 1854, 1906, 1957, 2009, 2060, 2112, 2163, 2215, 2266, 2318, 2369, 2421, 2472, 2524, 2575, 2627, 2678, 2730, 2782]"
R004,A,Q02-S3,3,1,2,2,2,P01,Desk_Office,Visual-BiLSTM,"[2782, 2781, 2780, 2779, 2778, 915, 917, 914, 918, 916, 2777, 919, 1962, 1391, 1963, 1801, 1390, 979, 920, 923, 828, 1466, 977, 1699, 1607, 827, 1647, 978, 1389, 1802, 1551, 1606, 2529, 1536, 1058, 1345, 1795, 1964, 1337, 2775, 1336, 1349, 1544, 1700, 924, 1346, 2499, 775, 569, 882, 1392, 1550, 1597, 1347, 714]"
R004,A,Q02-S4,5,4,2,4,2,P01,Desk_Office,Ours-Nested-Intent-Selector,"[621, 634, 635, 636, 638, 639, 646, 648, 655, 663, 664, 665, 667, 668, 671, 672, 673, 675, 677, 834, 869, 889, 917, 918, 919, 924, 932, 962, 963, 1006, 1024, 1025, 1027, 1033, 1036, 1039, 1042, 1050, 1051, 1059, 1134, 1156, 1157, 1159, 1162, 1168, 1170, 1171, 1173, 1174, 1188, 1189, 1190, 1309, 1537]"
R004,A,Q03-S1,1,1,1,1,3,P01,Grass_Kids,Visual-BiLSTM,"[2782, 2781, 2780, 2779, 2778, 915, 917, 914, 918, 916, 2777, 919, 1962, 1391, 1963, 1801, 1390, 979, 920, 923, 828, 1466, 977, 1699, 1607, 827, 1647, 978, 1389, 1802, 1551, 1606, 2529, 1536, 1058, 1345, 1795, 1964, 1337, 2775, 1336, 1349, 1544, 1700, 924, 1346, 2499, 775, 569, 882, 1392, 1550, 1597, 1347, 714]"
R004,A,Q03-S2,1,1,1,1,3,P01,Grass_Kids,CLIP-zero-shot,"[2497, 2491, 2476, 116, 638, 819, 1294, 2480, 2506, 2499, 634, 1724, 46, 1996, 2475, 494, 1622, 1647, 629, 1799, 2479, 812, 1922, 251, 2332, 1536, 2399, 1468, 711, 1780, 628, 2374, 618, 1961, 2348, 2039, 2469, 653, 1731, 2403, 462, 650, 2614, 202, 28, 392, 2366, 2498, 208, 1714, 2477, 170, 798, 463, 279]"
R004,A,Q03-S3,1,1,1,1,3,P01,Grass_Kids,Ours-Nested-Intent-Selector,"[38, 39, 471, 473, 474, 475, 476, 477, 478, 480, 481, 570, 1369, 1383, 1386, 1389, 1390, 1391, 1395, 1487, 1516, 1517, 1519, 1520, 1521, 1524, 1525, 1527, 1528, 1529, 1530, 1531, 1629, 1642, 1722, 1726, 1737, 1739, 1740, 1743, 1769, 1780, 1781, 1783, 1785, 1798, 1800, 1808, 1812, 1813, 1834, 1879, 1889, 1896, 2549]"
R004,A,Q03-S4,1,1,1,1,3,P01,Grass_Kids,Uniform,"[0, 51, 103, 154, 206, 257, 309, 360, 412, 463, 515, 566, 618, 669, 721, 772, 824, 875, 927, 978, 1030, 1081, 1133, 1184, 1236, 1287, 1339, 1391, 1442, 1494, 1545, 1597, 1648, 1700, 1751, 1803, 1854, 1906, 1957, 2009, 2060, 2112, 2163, 2215, 2266, 2318, 2369, 2421, 2472, 2524, 2575, 2627, 2678, 2730, 2782]"
