dimension,dimension_zh,comparison,n_raters,mean_difference,sd_difference,ci95_low_t,ci95_high_t,raw_p,holm_p
relevance_1_5,意图相关性,Ours-Nested-Intent-Selector - Uniform,5,1.3900000000000001,0.37980258029665864,0.9184128096207439,1.8615871903792565,0.0625,0.1875
relevance_1_5,意图相关性,Ours-Nested-Intent-Selector - Visual-BiLSTM,5,1.5899999999999999,0.24341322889276182,1.2877625569973246,1.8922374430026752,0.0625,0.1875
relevance_1_5,意图相关性,Ours-Nested-Intent-Selector - CLIP-zero-shot,5,0.8300000000000001,0.3817721833764215,0.35596722438585104,1.3040327756141492,0.0625,0.1875
both_concepts_coverage_1_5,双概念覆盖,Ours-Nested-Intent-Selector - Uniform,5,1.0599999999999998,0.09617692030835683,0.9405805805950005,1.1794194194049992,0.0625,0.1875
both_concepts_coverage_1_5,双概念覆盖,Ours-Nested-Intent-Selector - Visual-BiLSTM,5,1.31,0.27477263328068174,0.9688247135637315,1.6511752864362688,0.0625,0.1875
both_concepts_coverage_1_5,双概念覆盖,Ours-Nested-Intent-Selector - CLIP-zero-shot,5,0.6399999999999999,0.11401754250991372,0.4984285223017725,0.7815714776982273,0.0625,0.1875
non_redundancy_1_5,非冗余性,Ours-Nested-Intent-Selector - Uniform,5,0.41,0.631862326776965,-0.3745607029802212,1.1945607029802212,0.3125,0.3125
non_redundancy_1_5,非冗余性,Ours-Nested-Intent-Selector - Visual-BiLSTM,5,0.9800000000000001,0.5869412236331675,0.25121621355303025,1.70878378644697,0.0625,0.1875
non_redundancy_1_5,非冗余性,Ours-Nested-Intent-Selector - CLIP-zero-shot,5,0.39,0.42632147494584427,-0.13934802710138383,0.9193480271013839,0.125,0.25
overall_usefulness_1_5,总体可用性,Ours-Nested-Intent-Selector - Uniform,5,1.0500000000000003,0.20310096011589904,0.7978168498234695,1.302183150176531,0.0625,0.1875
overall_usefulness_1_5,总体可用性,Ours-Nested-Intent-Selector - Visual-BiLSTM,5,1.35,0.26220221204253785,1.0244329530573908,1.6755670469426094,0.0625,0.1875
overall_usefulness_1_5,总体可用性,Ours-Nested-Intent-Selector - CLIP-zero-shot,5,0.6700000000000002,0.2659887215654077,0.3397313805039876,1.0002686194960126,0.0625,0.1875
four_dimension_mean,四维平均,Ours-Nested-Intent-Selector - Uniform,5,0.9774999999999998,0.21275719729306455,0.7133270477624658,1.2416729522375338,0.0625,0.1875
four_dimension_mean,四维平均,Ours-Nested-Intent-Selector - Visual-BiLSTM,5,1.3074999999999999,0.26818254044586853,0.9745073945815395,1.6404926054184603,0.0625,0.1875
four_dimension_mean,四维平均,Ours-Nested-Intent-Selector - CLIP-zero-shot,5,0.6324999999999998,0.22195861100664696,0.3569019836217321,0.9080980163782676,0.0625,0.1875
