dimension,dimension_zh,method,n_raters,mean,sd_between_raters,ci95_low_t,ci95_high_t
relevance_1_5,意图相关性,Uniform,5,1.85,0.4198213905936666,1.3287228936240028,2.3712771063759974
relevance_1_5,意图相关性,Visual-BiLSTM,5,1.65,0.14142135623730953,1.474402193382983,1.8255978066170169
relevance_1_5,意图相关性,CLIP-zero-shot,5,2.41,0.4335896677735761,1.871627319532419,2.9483726804675814
relevance_1_5,意图相关性,Ours-Nested-Intent-Selector,5,3.2399999999999998,0.17102631376487074,3.0276427834526585,3.452357216547341
both_concepts_coverage_1_5,双概念覆盖,Uniform,5,1.67,0.4893873721296863,1.062345318851019,2.277654681148981
both_concepts_coverage_1_5,双概念覆盖,Visual-BiLSTM,5,1.4199999999999997,0.3053686296920494,1.0408347663305642,1.7991652336694353
both_concepts_coverage_1_5,双概念覆盖,CLIP-zero-shot,5,2.09,0.4449719092257397,1.5374944001024045,2.6425055998975955
both_concepts_coverage_1_5,双概念覆盖,Ours-Nested-Intent-Selector,5,2.7300000000000004,0.49446941260304456,2.1160351321578363,3.3439648678421645
non_redundancy_1_5,非冗余性,Uniform,5,2.5799999999999996,0.8892412496055274,1.475861154647087,3.684138845352912
non_redundancy_1_5,非冗余性,Visual-BiLSTM,5,2.01,0.5683308895353129,1.3043239953968802,2.7156760046031194
non_redundancy_1_5,非冗余性,CLIP-zero-shot,5,2.6000000000000005,0.8031189202104505,1.602796150498401,3.5972038495016
non_redundancy_1_5,非冗余性,Ours-Nested-Intent-Selector,5,2.9899999999999998,0.7676262111210117,2.036866169573476,3.9431338304265235
overall_usefulness_1_5,总体可用性,Uniform,5,1.7799999999999998,0.4132190702278877,1.266920757126798,2.2930792428732016
overall_usefulness_1_5,总体可用性,Visual-BiLSTM,5,1.48,0.1890767040118904,1.2452302637294062,1.7147697362705938
overall_usefulness_1_5,总体可用性,CLIP-zero-shot,5,2.16,0.6035312750802563,1.410616943942832,2.9093830560571683
overall_usefulness_1_5,总体可用性,Ours-Nested-Intent-Selector,5,2.8299999999999996,0.4251470333896262,2.302110234696966,3.357889765303033
four_dimension_mean,四维平均,Uniform,5,1.9700000000000002,0.4684248872551502,1.388373681632622,2.5516263183673784
four_dimension_mean,四维平均,Visual-BiLSTM,5,1.64,0.2451721334083464,1.3355785885840452,1.9444214114159546
four_dimension_mean,四维平均,CLIP-zero-shot,5,2.3150000000000004,0.5295487465757992,1.6574783860829005,2.9725216139171002
four_dimension_mean,四维平均,Ours-Nested-Intent-Selector,5,2.9475000000000002,0.4072008104117671,2.441893413672312,3.4531065863276886
