metric,comparison,n_query_pairs,mean_difference,video_cluster_ci_low,video_cluster_ci_high,query_wilcoxon_p_exploratory,holm_p_exploratory
margin_or,Ours - Uniform,180,0.32367899795826066,0.28508835488855144,0.36632004981320054,7.448792195700533e-29,3.7243960978502665e-28
margin_or,Ours - Visual-BiLSTM,180,0.32367899795826066,0.2850883548885514,0.36632004981320054,1.3798888200943487e-22,4.139666460283046e-22
margin_or,Ours - CLIP-zero-shot,180,0.2194562087684291,0.179799499476196,0.2476646844359492,4.066811067943857e-21,8.133622135887713e-21
margin_or,Ours - Concept-Adapter-MMR,180,-0.06276109767851247,-0.09788374345558162,-0.03579285169233953,7.035851957604191e-15,7.035851957604191e-15
margin_or,Ours - CHAN-MMR,180,0.32205286943137124,0.2857970881431412,0.3607227945708643,2.3159312502217534e-28,9.263725000887014e-28
discrimination_auc_or,Ours - Uniform,180,0.2614267676767677,0.24583333333333335,0.27702020202020206,5.50028487156182e-27,2.75014243578091e-26
discrimination_auc_or,Ours - Visual-BiLSTM,180,0.2614267676767677,0.24583333333333335,0.27702020202020206,2.4097456851797192e-21,7.229237055539157e-21
discrimination_auc_or,Ours - CLIP-zero-shot,180,0.1557449494949495,0.0816919191919192,0.2043560606060606,1.3227314372298904e-16,2.6454628744597807e-16
discrimination_auc_or,Ours - Concept-Adapter-MMR,180,-0.02922979797979798,-0.04021464646464647,-0.01830808080808081,1.3090223732001197e-05,1.3090223732001197e-05
discrimination_auc_or,Ours - CHAN-MMR,180,0.26420454545454547,0.2513888888888889,0.27468434343434345,5.666875365755749e-26,2.2667501463022994e-25
margin_and,Ours - Uniform,180,0.07634384732739495,0.05488689714041827,0.09780079751437161,7.437649249099148e-16,3.7188246245495745e-15
margin_and,Ours - Visual-BiLSTM,180,0.07634384732739494,0.054886897140418264,0.0978007975143716,0.0038195583159550406,0.0038195583159550406
margin_and,Ours - CLIP-zero-shot,180,0.053411071456690586,0.03969948419670005,0.06841556116831055,1.0641830163398014e-07,3.1925490490194043e-07
margin_and,Ours - Concept-Adapter-MMR,180,0.009376683450008833,0.00578117927029579,0.012972187629721875,1.788074292994379e-05,3.576148585988758e-05
margin_and,Ours - CHAN-MMR,180,0.07790391189377202,0.05435380665482205,0.101454017132722,9.44794471653816e-16,3.779177886615264e-15
discrimination_auc_and,Ours - Uniform,180,0.077020202020202,0.06666666666666665,0.08743686868686867,1.8944343720277047e-18,9.472171860138523e-18
discrimination_auc_and,Ours - Visual-BiLSTM,180,0.07702020202020202,0.06666666666666667,0.08743686868686869,1.4940201661076351e-06,2.9880403322152702e-06
discrimination_auc_and,Ours - CLIP-zero-shot,180,0.04678030303030304,0.029166666666666667,0.06439393939393939,9.969751738791621e-10,2.9909255216374864e-09
discrimination_auc_and,Ours - Concept-Adapter-MMR,180,0.0009469696969696973,-0.008585858585858584,0.010479797979797981,0.030192645477905372,0.030192645477905372
discrimination_auc_and,Ours - CHAN-MMR,180,0.0774621212121212,0.06862373737373738,0.08888888888888888,5.263771137863132e-16,2.1055084551452526e-15
